c1,c2,dev_span_precision,dev_span_recall,dev_span_f1,dev_span_tp,dev_span_fp,dev_span_fn,dev_token_precision,dev_token_recall,dev_token_f1,dev_token_tp,dev_token_fp,dev_token_fn
0.01,0.1,0.6710097719869706,0.5188916876574308,0.5852272727272727,206,101,191,0.6896168795113826,0.41248754566589174,0.5162094763092269,1242,559,1769
0.5,0.01,0.6568627450980392,0.5062972292191436,0.5718349928876245,201,105,196,0.6557990379476216,0.40750581202258385,0.5026628430970914,1227,644,1784
0.01,0.01,0.6611295681063123,0.5012594458438288,0.5702005730659025,199,102,198,0.649171270718232,0.39023580205911657,0.4874507363617507,1175,635,1836
0.01,0.5,0.6483870967741936,0.5062972292191436,0.5685997171145686,201,109,196,0.674565560821485,0.4254400531384922,0.5217922606924643,1281,618,1730
0.5,0.5,0.6472491909385113,0.5037783375314862,0.5665722379603398,200,109,197,0.6854338842975206,0.4407173696446363,0.5364867596523144,1327,609,1684
0.5,0.1,0.6387096774193548,0.4987405541561713,0.5601131541725601,198,112,199,0.64794921875,0.4407173696446363,0.5246096066416287,1327,721,1684
1.0,1.0,0.6597222222222222,0.47858942065491183,0.5547445255474452,190,98,207,0.6641566265060241,0.4393889073397542,0.5288826703977614,1323,669,1688
0.1,0.5,0.6331168831168831,0.491183879093199,0.5531914893617021,195,113,202,0.6637122002085506,0.422783128528728,0.5165347940758775,1273,645,1738
0.01,1.0,0.6421404682274248,0.4836272040302267,0.5517241379310345,192,107,205,0.6782945736434108,0.4068415808701428,0.5086153207390492,1225,581,1786
0.1,1.0,0.6286644951140065,0.48614609571788414,0.5482954545454546,193,114,204,0.6655844155844156,0.40850215875124546,0.5062770117308089,1230,618,1781
0.1,0.01,0.6274509803921569,0.4836272040302267,0.546230440967283,192,114,205,0.615536862939139,0.41315177681833276,0.4944356120826709,1244,777,1767
0.5,1.0,0.6178343949044586,0.48866498740554154,0.5457102672292546,194,120,203,0.6771037181996086,0.4596479574892062,0.5475766567754697,1384,660,1627
1.0,0.01,0.6379310344827587,0.4659949622166247,0.5385735080058224,185,105,212,0.6327325864588407,0.43141813351046165,0.5130331753554502,1299,754,1712
1.0,0.5,0.6388888888888888,0.4634760705289673,0.5372262773722628,184,104,213,0.6363636363636364,0.43008967120557956,0.5132778438367023,1295,740,1716
0.1,0.1,0.6156351791530945,0.4760705289672544,0.5369318181818181,189,118,208,0.6134494436381229,0.4211225506476254,0.499409216226861,1268,799,1743
1.0,0.1,0.631578947368421,0.4534005037783375,0.5278592375366569,180,105,217,0.6237574552683897,0.41680504815675856,0.4997013736810671,1255,757,1756
