rank,c1,c2,mean_precision,mean_recall,mean_f1,std_f1
1,0.1,0.1,0.6892497702949192,0.5444202891052695,0.6024018652788552,0.11861285595507179
2,0.5,0.01,0.6782994330819836,0.5336082180423639,0.592369383336178,0.10983134880877876
3,0.01,0.1,0.6840614526808162,0.5294883963526236,0.5908458546684745,0.11275536220612063
4,0.01,0.01,0.6778994315102147,0.5233753125650432,0.5848727683651578,0.11899195701373627
5,0.01,0.5,0.6730748143395867,0.5158327872279654,0.5781668732010012,0.11063431358267282
