setting,disabled_group,dev_micro_f1,f1_drop
All features,,0.5089677162216022,0.0
Without group A,A,0.3800650054171181,0.12890271080448412
Without group B,B,0.4697508896797153,0.03921682654188691
Without group F,F,0.5485180673974828,-0.03955035117588057
Without group G,G,0.5077424612876935,0.0012252549339086816
